"Story","Title","Result","Date","Stability","Duration (s)"
"mentor","Get task detail using special char on id","SUCCESS","2023-10-26T20:10:05.267+07:00[Asia/Bangkok]","0.0","2.79"
"mentor","Get task detail with doesn't exist id","SUCCESS","2023-10-26T20:10:08.062+07:00[Asia/Bangkok]","0.0","2.53"
"mentor","Get task detail using alphabeth on id","SUCCESS","2023-10-26T20:10:10.597+07:00[Asia/Bangkok]","0.0","2.86"
"mentor","Put update profile mentor with valid name","SUCCESS","2023-10-26T20:10:13.461+07:00[Asia/Bangkok]","0.0","4.17"
"mentor","Put update profile mentor with invalid email","SUCCESS","2023-10-26T20:10:23.396+07:00[Asia/Bangkok]","0.0","3.12"
"mentor","Put update task with valid id and valid body","SUCCESS","2023-10-26T20:10:30.048+07:00[Asia/Bangkok]","0.0","4.09"
"mentor","Put update task with invalid id and valid body","SUCCESS","2023-10-26T20:10:34.155+07:00[Asia/Bangkok]","0.0","6.04"
"mentor","Put update task with invalid id and invalid body","SUCCESS","2023-10-26T20:10:54.767+07:00[Asia/Bangkok]","0.0","3.5"
"mentor","Put update task with valid id and  past due date","SUCCESS","2023-10-26T20:10:58.275+07:00[Asia/Bangkok]","0.0","2.86"
"mentor","Post task with valid title,describtion,due date,attachment,Images","SUCCESS","2023-10-26T20:11:01.141+07:00[Asia/Bangkok]","0.0","4.7"
"mentor","Post task without input title,describtion,due date,attachment,Images","SUCCESS","2023-10-26T20:11:05.839+07:00[Asia/Bangkok]","0.0","1.96"
"mentor","Post task without input attachment","SUCCESS","2023-10-26T20:11:07.797+07:00[Asia/Bangkok]","0.0","3.67"
"mentor","Post task without input due date","SUCCESS","2023-10-26T20:11:11.471+07:00[Asia/Bangkok]","0.0","3.35"
"mentor","Post task without input images","SUCCESS","2023-10-26T20:11:14.825+07:00[Asia/Bangkok]","0.0","3.72"
"mentor","Post with valid id and valid comment","SUCCESS","2023-10-26T20:11:18.543+07:00[Asia/Bangkok]","0.0","3.66"
"mentor","Post with valid id without input comment","SUCCESS","2023-10-26T20:11:22.208+07:00[Asia/Bangkok]","0.0","1.96"
"mentor","Post with valid id and input comment lass than 5","SUCCESS","2023-10-26T20:11:24.17+07:00[Asia/Bangkok]","0.0","1.95"
"mentor","Post with doesn't exist id and valid comment","SUCCESS","2023-10-26T20:11:26.124+07:00[Asia/Bangkok]","0.0","4.12"
"mentor","Post with using special char on id and valid comment","SUCCESS","2023-10-26T20:11:30.246+07:00[Asia/Bangkok]","0.0","3.36"
"mentor","Post with using alphabet on id and valid comment","SUCCESS","2023-10-26T20:11:33.609+07:00[Asia/Bangkok]","0.0","3.38"
"mentor","Post submission with valid id task and valid score","SUCCESS","2023-10-26T20:11:39.005+07:00[Asia/Bangkok]","0.0","4.67"
"mentor","Post submission with using special char on id task","SUCCESS","2023-10-26T20:11:43.681+07:00[Asia/Bangkok]","0.0","2.44"
"mentor","Post submission with using alphabeth on id submission and valid score","SUCCESS","2023-10-26T20:11:46.125+07:00[Asia/Bangkok]","0.0","2.13"
"mentor","Post submission with valid id task and invalid score","SUCCESS","2023-10-26T20:11:48.254+07:00[Asia/Bangkok]","0.0","2.16"
"mentor","Delete task with doesn't exist id","SUCCESS","2023-10-26T20:11:56.074+07:00[Asia/Bangkok]","0.0","2.46"
"mentor","Delete task with using special char on id","SUCCESS","2023-10-26T20:11:58.535+07:00[Asia/Bangkok]","0.0","2.8"
"mentor","Delete task with using alphabet on id","SUCCESS","2023-10-26T20:12:01.333+07:00[Asia/Bangkok]","0.0","6.46"
